source,pmid_number,reviewer_1_2,reviewer_2_3,pdf_in_folder,link_to_paper,authors,title,journal,issue_number_page_numbers,link_to_paper_2,reviewer_1_11,reviewer_2_12,data_available,sample_description,sample_size,clustering,clustering_dealt_with,exposure_s,mediator_s,outcome_s,exposure_randomized,name_of_mediation_method,citation_for_mediation_method,causal_mediation_yes_no,if_causal_which_estimand_1_controlled_direct_and_indirect_2_natural_direct_and_indirect_effects_or_3_stochastic_randomized_interventional_direct_and_indirect_effects,effects_of_interst_nie_nde_etc,if_baron_kenny_examine_whether_no_interaction_b_w_tx_and_mediator_on_outcome,if_b_k_examine_linear_relationship_b_w_mediator_and_outcome,covariates_in_exposure_mediator_model,covariates_in_mediator_outcome_model,covariates_in_exposure_outcome_model,any_justification_for_covariates,baseline_value_of_mediator_adjusted_for,baseline_value_of_outcome_adjusted_for,temporal_ordering_of_exposure_before_mediator_yes_no,temporal_ordering_of_mediator_before_outcome_yes_no,discussion_of_mediation_assumptions_yes_no,sensitivity_analyes_to_assumptions_yes_no,does_model_control_for_other_post_exposure_variables_yes_no,reviewer,reviewer_1,reviewer_2,x40
1,25998280,Adam,Ian,Y,https://ajp-psychiatryonline-org.ezp.welch.jhmi.edu/doi/10.1176/appi.ajp.2015.14081035,van der Meer et al.,Brain Correlates of the Interaction Between 5-HTTLPR and Psychosocial Stress Mediating Attention Deficit Hyperactivity Disorder Severity,American Journal of Psychiatry,"8,172,768-775",NA,Adam,NA,no,"Families with at two or more children, where one child has ADHD. Also families with no ADHD childred as controls",701,yes,yes, 5-HTTLPR genotype,Brain regions controlling the gene-environment interaction on ADHD severity; gray metter volume,Stress on brain gray matter volume,no,bootsrap method with B & K approach. MATLAB with the Multilevel Mediation and Moderation Toolbox,yes (Hayes 2013),no,NA,NA,no,no,model stated but doesn't give specific covariate inputes,model stated but doesn't give specific covariate inputes,NA,yes,yes,no,yes,yes,yes,yes,no,A,NA,NA,NA
1,26098581,Adam,Jeannie,N,http://eds.b.ebscohost.com.ezp.welch.jhmi.edu/ehost/detail/detail?vid=1&sid=4544b77d-a62b-42e2-b6f4-4018ae555f1e%40sessionmgr101&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=2015-26918-002&db=pdh,"Curenton S, Dong N, & Shen X.",Does aggregate school-wide achievement mediate fifth grade outcomes for former early childhood education participants?,Developmental Psychology,"Vol 51, No. 7, 921-934",https://findit-library-jhu-edu.ezp.welch.jhmi.edu/resolve?ID=doi:10.1037/a0039295&genre=article&atitle=Does%20Aggregate%20School-Wide%20Achievement%20Mediate%20Fifth%20Grade%20Outcomes%20for%20Former%20Early%20Childhood%20Education%20Participants?&title=Developmental%20Psychology&issn=00121649&isbn=&volume=51&issue=7&date=20150701&aulast=Curenton%2C%20Stephanie%20M.&spage=921&pages=921-934&sid=EBSCO:Academic%20Search%20Ultimate:103376282,Adam,NA,no,"The Early Childhood Longitudinal Study, Kindergarten Cohort of 19981999 (ECLS-K)",20000,yes,yes,Early Childhood Education,School-wide achievement,5th grade achievement,no,B & K,B & K 1986,no,NA,"direct, indirect",yes,yes,"Looks like they performed and reported all steps of B & K. Stated they included all covariates in all models. Covariates include age, race, sex and parental education.","Looks like they performed and reported all steps of B & K. Stated they included all covariates in all models. Covariates include age, race, sex and parental education.","Looks like they performed and reported all steps of B & K. Stated they included all covariates in all models. Covariates include age, race, sex and parental education.",yes,no,no,no,no,yes,no,Controls for some school-wide performance variables,A,NA,NA,NA
1,26126419,Adam,Ian,Y,https://www-sciencedirect-com.ezp.welch.jhmi.edu/science/article/pii/S0920996415003187/pdfft?md5=2b26b231e70c564580d6d6b412d09402&pid=1-s2.0-S0920996415003187-main.pdf,Fredrick et al.,"Is cognitive adaptation training (CAT) compensatory, restorative, or both?",Schizophrenia Research,"166, 290-296",NA,Adam,NA,no,participants with schizophrenia,120,no,na,"one of three treatment groups; cognitive adaptive training, generic environmental supports, treatment as usual",cognitive performance,functional outcomes,Yes,Bootstrapping,yes (Hayes 2009),NA,NA,indirect,no,no,model stated but doesn't give specific covariate inputes,model stated but doesn't give specific covariate inputes,NA,yes,no,no,no,no,yes,no,no,A,NA,NA,NA
1,26381506,Adam,Ian,Y,https://www-ncbi-nlm-nih-gov.ezp.welch.jhmi.edu/pmc/articles/PMC4646733/,"Jepma M, & Wager T.",Conceptual conditioning: Mechanisms mediating conditioning effects on pain,Psychological Science,"26,11,1728-1739",NA,Adam,NA,no,"healthy participants with no history of psychiatric, neurological, or pain disorders, and no current pain.",30,no,na,Pain conditioning cues,expeted pain,Self reported pain ratings,no,Multi-level bootstrapping,no,no,NA,na,no,no,no,no,"reports outcomes from ""reduced model""",yes,no,no,yes,yes,a little,no,yes,A,NA,NA,NA
1,26590510,Adam,Ian,Y,https://www-sciencedirect-com.ezp.welch.jhmi.edu/science/article/pii/S0165032715307631/pdfft?md5=866324ab4eb27022468c9954660fbc9b&pid=1-s2.0-S0165032715307631-main.pdf,Jylha et al.,Personality disorders and suicide attempts in unipolar and bipolar mood disorders,Journal of Affective Disorders,"190, 632-639",NA,Adam,NA,provides broken link,Patients with an acute phase of unipolar or bipolar depressive disorder.,597,yes,yes,personality disorders (PD),major depressive episodes (MDE),suicide attempts (SA),no,"""Mediation"" R package",given in supplementary materials but link doesn't work,yes,"natural, controlled direct and indirect","ACNE, ADE, TE",no,no,unsure,unsure,unsure,no,no,no,no,no,a little,no,no,A,NA,NA,NA
1,26702520,Adam,Ian,Y,https://www-sciencedirect-com.ezp.welch.jhmi.edu/science/article/pii/S0165032715306960/pdfft?md5=96e6ab93bdc30d3c454209859e5005ee&pid=1-s2.0-S0165032715306960-main.pdf,Moritz et al,More adaptive versus less maladaptive coping: What is more predictive of symptom severity? Development of a new scale to investigate coping profiles across different psychopathological syndromes,Journal of Affective Disorders,"191,300-307",NA,Adam,NA,no,general population participating in online survey ages 18-70,2200,no,na,maladaptive coping,emotional suppression,psychopathology,no,B & K,no,no,na,na,no,no,yes,no,no,no,no,no,no,no,no,no,no,A,NA,NA,NA
1,26822489,Adam,Ian,Y,http://www.nature.com.ezp.welch.jhmi.edu/articles/npp201614,Lett et al.,Prefrontal White Matter Structure Mediates the Influence of GAD1 on Working Memory,Neuropsychopharmacology,"41,2224-2231",NA,Adam,NA,no,"schizophrenia patients and healthy controls, primarily caucasian",197,They clustered electrodes within in the brain of participants,yes,functional GAD1 rs3749034,brain structure and genetic variants,"white matter fractional anisotropy (FA), cortical thickness and working memory performance.",no,B & K in MATLAB,"yes, in supplemental material",no,na,na,no,no,no,more included in Supplementary 1 materials,"age, sex and diagnosis",yes,no,no,no,no,yes,no,no,A,NA,NA,NA
1,27018937,Adam,Ian,Y,https://www-sciencedirect-com.ezp.welch.jhmi.edu/science/article/pii/S0165032715312544/pdfft?md5=8fb32110c7f107c1fd8bddc526b7fad7&pid=1-s2.0-S0165032715312544-main.pdf,Hopfinger et al.,Emotion regulation mediates the effect of childhood trauma on depression,Journal of Affective Disorders,"198,189-197",NA,Adam,NA,no,"1) Diagnosis of major depressive disorder, 2) ages 18 -70, 3)Fluency in German",269,no,na,childhood trauma,dysfunctional emotion regulation,depression,no,"""PROCESS"" macro in SPSS, bootstrap method","yes, Preacher and Hayes 2008",no,na,na,no,no,no,age,no,yes,no,no,yes,yes,yes,no,no,A,NA,NA,NA
1,27219531,Adam,Jeannie,Y,https://www-sciencedirect-com.ezp.welch.jhmi.edu/science/article/pii/S0165032715309162/pdfft?md5=bbb0afccc9290a236cfcb9410bdd60e9&pid=1-s2.0-S0165032715309162-main.pdf,Kushner et al.,Therapeutic alliance mediates the association between personality and treatment outcome in patients with major depressive disorder,Journal of Affective Disorders,"201,137-144",NA,Adam,NA,no,Outpatients with major depressive disorder,209,no,na,"one of three treatment types; antidepressant medication, interpersonal therapy, cognitive behavioral therapy",Therapeutic allaince,depression severity and personality outcomes,yes,Serial multiple mediation (PROCESS in SPSS),"yes, Hayes 2008",NA,NA,direct and indirect,no,no,not stated,not stated,not stated,some,no,no,yes,no,yes,no,no,A,NA,NA,NA
1,27337705,Adam,Ian,Y,https://www-sciencedirect-com.ezp.welch.jhmi.edu/science/article/pii/S0165032716303287/pdfft?md5=1722cea8a8a230060bdaa4839473706b&pid=1-s2.0-S0165032716303287-main.pdf,Santini et al.,"Social relationships, loneliness, and mental health among older men and women in Ireland: A prospective community-based study",Journal of Affective Disorders,"204,59-69",NA,Adam,NA,no,adults aged Z50 years from the Irish Longitudinal Study on Ageing (TILDA),6105,no,na,Relationship quality,loneliness,depressive and anxiety symptoms,no,KHB (Karlson Holm Breen) in command in Stata,"yes, Breen et al.",no,NA,"direct, indirect, total",no,no,no,no,no,yes,yes,yes,no,no,yes,no,yes,A,NA,NA,NA
1,27640523,Adam,Ian,Y,https://www-cambridge-org.ezp.welch.jhmi.edu/core/journals/psychological-medicine/article/emotional-intelligence-and-nonsocial-cognition-in-schizophrenia-and-bipolar-i-disorder/C04D9A04EC1734E5BDBAA77026FED5AF,Frajo-Apot et al.,Emotional intelligence and non-social cognition in schizophrenia and bipolar I disorder,Psychological Medicine,"47,1,35-42",NA,Adam,NA,no,Schizophrenia and bipolar out patients,60,no,na,Schizophrenia/Bipolar disease,non-social cognition,Emotional Intellegence,no,B & K,"yes, Preacher & Hayes 2008",no,na,na,no,no,"Include picture and model description in Fig 1, but doesn't specify the covariates",no,no,no,no,no,yes,no,no,no,yes,A,NA,NA,NA
1,27826261,Adam,Kelly,Y,https://www-ncbi-nlm-nih-gov.ezp.welch.jhmi.edu/pmc/articles/PMC5078785/,Agroskin et al.,Inhibition Underlies the Effect of High Need for Closure on Cultural Closed-Mindedness under Mortality Salience,Frontiers in Psychology,71583,NA,Adam,NA,no,3 studies with Students at University of Salzburg,74,no,na,mortality salience,behavioral inhibition system,cultural closed- mindedness,yes,moderated mediational analyses with Mplus 7,"yes, Hayes 2013",no,NA,NA,no,no,no,no,Figure 3 gives model picture but description,yes,yes,no,no,no,yes,no,yes,A,NA,NA,NA
1,27917142,Adam,Ian,Y,https://www-ncbi-nlm-nih-gov.ezp.welch.jhmi.edu/pmc/articles/PMC5114297/,Suh et al.,Perceived Interpersonal Burdensomeness as a Mediator between Nightmare Distress and Suicidal Ideation in Nightmare Sufferers,Frontiers in Psychology,"7, 1805",NA,Adam,NA,no,Undergrad students experiencing nightmares,301,no,na,nightmare distress,"perceived burdensomeness and thwarted
belongingness",suicidal ideation,no,Multiple mediation regression with bootstrap,"yes, Shrout and Bolger 2002",no,NA,direct and indirect,no,no,no,gender,no,yes,no,no,no,no,yes,no,no,A,NA,NA,NA
1,27933010,Adam,Kelly,Y,https://www-ncbi-nlm-nih-gov.ezp.welch.jhmi.edu/pmc/articles/PMC5120115/,"Sheikh M, Abelsen B, & Olsen J.","Differential Recall Bias, Intermediate Confounding, and Mediation Analysis in Life Course Epidemiology: An Analytic Framework with Empirical Example",Frontiers in Psychology,"7, 1828",NA,Adam,NA,no,Adults (25 - 74) who participated in the Tromso study in Norway,10325,no,na,childhood socioeconomic status,psychological and physical abuse,"mental health, general health and well-being outcomes",no,"""difference method"" as well as chains of risk model and Causal Steps Method","yes, Judd and Kenny 1981, (several others)",no,NA,direct and indirect,no,no,no,"adjusted for age, parental history of psychological problems, exposure to passive smoke.","adjusted for age, parental history of psychological problems,",yes,no,no,yes,not necessarily,yes,no,yes,A,NA,NA,NA
1,28871234,Adam,Kara,Y,https://www-ncbi-nlm-nih-gov.ezp.welch.jhmi.edu/pmc/articles/PMC5566970/,"Pena, M. & Losada, L.","Test Anxiety in Spanish Adolescents: Examining the Role of Emotional Attention, and Ruminative Self-focus and Regulation",Frontiers in Psychology,"8, 1423",NA,Adam,NA,no,Adolescents studying in public schools at Madrid and Toledo (Spain),385,no,na,emotional intellegence,Self-Reumination / Self-Reflection,Test Anxiety,no,Non-parametric bootstrap,"yes, Preacher & Hayes 2008",no,NA,indirect,no,no,not explicitly stated,not explicitly stated,not explicitly stated,yes,no,no,no,no,yes,no,yes,A,NA,NA,NA
1,28968562,Adam,Kelly,Y,https://www-sciencedirect-com.ezp.welch.jhmi.edu/science/article/pii/S0165032717311394/pdfft?md5=52ce1b04a281d2e667887c92acc36f02&pid=1-s2.0-S0165032717311394-main.pdf,Collins et al.,Mind full of life: Does mindfulness confer resilience to suicide by increasing zest for life?,Journal of Affective Disorders,"226, 100-107",NA,Adam,NA,no,University students,233,no,na,mindfulness,zest for life,suicide,no,moderated mediational analyses,Preacher & Hayes 2008,NA,NA,indirect,no,no,no,no,no,yes,no,no,no,no,yes,no,no,A,NA,NA,NA
1,29052846,Adam,Kelly,Y,https://onlinelibrary-wiley-com.ezp.welch.jhmi.edu/doi/epdf/10.1111/jcpp.12834,Bruin et al.,Improvements of adolescent psychopathology after insomnia treatment: results from a randomized controlled trial over 1 year,Journal of Child Psychology and Psychiatry,"59:5, 509-522",NA,Adam,NA,no,Children (age 12-19) with insomnia,116,no,na,"1 of 3 cognitive behavior therapies: Internet, group treatment or wait list",reduction of insomnia syptoms,adolescent psychopathology,yes,Multiple mediation regression with bootstrap,Hayes 2013,no,NA,indirect,no,no,no,no,no,yes,no,no,no,no,yes,no,no,A,NA,NA,NA
1,29312090,Adam,Ian,Y,https://www-ncbi-nlm-nih-gov.ezp.welch.jhmi.edu/pmc/articles/PMC5744077/,Munoz-Silva et al.,Child/Adolescent’s ADHD and Parenting Stress: The Mediating Role of Family Impact and Conduct Problems,Frontiers in Psychology,"8, 2252",NA,Adam,NA,no,Mothers of children with ADHD,126,no,na,ADHD,Child's conduct problems and impact on family's social life,Parent stress,no,Bootstrap,Hayes 2013,no,NA,indirect,no,no,yes,no,child's and mother's age,yes,no,no,yes,no,yes,no,no,A,NA,NA,NA
1,29324368,Adam,Kelly,Y,https://www-sciencedirect-com.ezp.welch.jhmi.edu/science/article/pii/S016503271732270X/pdfft?md5=95d9688b179d4af2bfc02dc910d52902&pid=1-s2.0-S016503271732270X-main.pdf,Sheikh M.,"Childhood disadvantage, education, and psychological distress in adulthood: A three-wave population-based study",Journal of Affective Disorders,"229, 206-212",NA,Adam,NA,no,"People who participated in the Tromso Study, a prospective cohort study",4530,no,na,childhood disadvantage,education,psychological distress,no,Mediation analysis with the difference-in-coefficients method,Sheikh et al.,no,NA,"direct, indirect, total",no,no,"Adjusted for age, gender, mother's/father's history of psychiatric disorders, daily
smoking, indicators of alcohol frequency, number of friends, and perceived social support.","Adjusted for childhood disadvantages, age, gender, mother's/father's history of psychiatric disorders, daily smoking, alcohol frequency, number of friends, and perceived social support.","age, gender, mother's/father's history of psychiatric disorders, daily smoking, alcohol frequency, number of friends, perceived social support, and education.",yes,no,no,yes,no,no,no,yes,A,NA,NA,NA
1,25866294,Adam,Ian,NA,NA,Finke,Structural Hippocampal Damage Following AntiN-Methyl-D-Aspartate Receptor Encephalitis,Biological Psychiatry,79:727–734,NA,Adam,NA,No,40 patients with anti-NMDAR encephalitis. 25 healthy controls,65,No,N/A,Disease severity,Hippocampus microstructure,memory performance,no,PROCESS (bootstrap) in SPSS,Hayes 2013,no,no,no,no,no,"not sure, only says models including ROCF as dependent variable.","not sure, only says models including ROCF as dependent variable.","not sure, only says models including ROCF as dependent variable.",no,no,no,no,no,no,no,no,A,NA,NA,NA
1,27458407,Adam,Ian,NA,NA,Cieslak,Effects of Internet-Based Self-Efficacy Intervention on Secondary Traumatic Stress and Secondary Posttraumatic Growth among Health and Human Services Professionals Exposed to Indirect Trauma,Frontiers in Psychology,NA,NA,Adam,NA,no,"168 health and human services professionals (78% women), exposed indirectly to a traumatic event at work.",168,no,no,Randomly assigned t 4-session internet intervention or education control group,Group Assignment and stress levels at previous time points,Levels of stress,yes,PROCESS (bootstrap) in SPSS,Hayes 2013,no,no,no,no,no,not listed,not listed,previous self-efficacy/stress symptoms,no,sorta of. Not base line but since mediator is temporal they did adjust after 1st measurement,no,yes,yes,no,no,no,A,NA,NA,NA
2,23025248,Ian,Adam,Y,https://www-ncbi-nlm-nih-gov.ezp.welch.jhmi.edu/pmc/articles/PMC3615135/,Sikkema et al.,Reductions in Traumatic Stress following a Coping Intervention were Mediated by Decreases in Avoidant Coping for People Living with HIV/AIDS and Childhood Sexual Abuse,Journal of Consulting and Clinical Psycholoy,81(2): 274-283,NA,NA,Adam,no,New York City adults with HIV-positive serostatus and experience of sexual abuse as a child,247,no,na,Living in the Face of Trauma (a group intervention),reductions in avoidant coping,traumatic stress,yes,B & K,"yes, to cite PRODCLIN in Mplus (MacKinnon, Fritz, Williams, & Lockwood, 2007)",no,na,indirect,no,yes,"they tested each mediation path properly, however, they didn't state what variables were included in each regression.","they tested each mediation path properly, however, they didn't state what variables were included in each regression. Only variable listed is latent growth model","they tested each mediation path properly, however, they didn't state what variables were included in each regression.",no,no,no,no,no,"not really, but did mention to check a,b,c and ab paths",no,no,B,NA,NA,NA
2,23276123,Jeannie,Adam,Y,https://www-ncbi-nlm-nih-gov.ezp.welch.jhmi.edu/pmc/articles/PMC3805116/,Schrimshaw et al,"Disclosure and Concealment of Sexual Orientation and the
Mental Health of Non-Gay-Identified, Behaviorally-Bisexual Men",Journal of Consulting and Clinical Psycholoy,81 (1): 141-153,NA,NA,Adam,no,"non-gay-identified, behaviorally-bisexual men in New York City",203,no,na,concealment/disclosure of sexual identity,general emotional support/ emotional support for same-sex behavior/ internalized homophobia,levels of mental health,no,Bootstrap in SPSS,Preacher and Hayes 2008,no,na,indirect,no,no,none,none,"age, race, education, income, relationship status, sexual identity",yes,no,no,no,no,no,no,"The authors ran multiple mediation models for all 3 mediators, controlling for each variable one at a time",B,NA,NA,NA
2,23880495,Liz,Adam,Y,https://www-sciencedirect-com.ezp.welch.jhmi.edu/science/article/pii/S0890856713003420/pdfft?md5=15b07ec0687e3e704c37db42764909cc&pid=1-s2.0-S0890856713003420-main.pdf,"Pineda J., & Dadds M.",Family Intervention for Adolescents With Suicidal Behavior: A Randomized Controlled Trial and Mediation Analysis,Journal of the American Academy of Child & Adolescent Psychiatry,"Vol 52, #8, 851-862",NA,NA,Adam,no,suicidal Australian adolescets ages 12-17,48,no,na,Family process,changes in family functioning,suicidal behavior,no,B & K,Baron and Kenny 1986,no,na,indirect,no,no,no covariates given,no covariates given,no covariates given,no,no,no,no,no,no,no,no,B,NA,NA,NA
