PMID,Title of the Study,Mediation Method Used,Randomized Exposure,Causal Mediation,Examined Mediator-Outcome Linearity,Examined Exposure-Mediator Interaction,Covariates in Exposure-Mediator Model,Covariates in Exposure-Outcome Model,Covariates in Mediator-Outcome Model,Control for Baseline Mediator,Control for Baseline Outcome,Temporal Ordering Exposure Before Mediator,Temporal Ordering Mediator Before Outcome,Discussed Mediator Assumptions,Sensitivity Analysis to Assumption,Control for Other Post-Exposure Variables
29312090,Child/Adolescent's ADHD and Parenting Stress: The Mediating Role of Family Impact and Conduct Problems,Bootstrap mediation analyses,"0 ## The study did not involve randomization; it was observational, examining existing conditions of ADHD in children.","1 ## The study aimed to identify mediating factors between ADHD and parenting stress, suggesting a causal mediation framework.","1 ## The study used hierarchical regression models, which assume linear relationships between variables.",0 ## There was no mention of testing for interaction effects between exposure (ADHD severity) and mediators.,0 ## The study did not specify covariates in the exposure-mediator model.,1 ## Child/adolescent's age and mother's age were used as covariates in the regression models.,1 ## Child/adolescent's age and mother's age were used as covariates in the mediation models.,0 ## The study did not control for baseline levels of the mediator.,0 ## The study did not control for baseline levels of the outcome.,0 ## The cross-sectional design does not establish temporal ordering between exposure and mediator.,0 ## The cross-sectional design does not establish temporal ordering between mediator and outcome.,"1 ## The study discussed assumptions related to mediation, such as the indirect effects and the role of conduct problems and family impact.",0 ## There was no mention of sensitivity analysis to test the robustness of mediation assumptions.,0 ## The study did not control for other post-exposure variables beyond those specified in the models.
27576609,Anticholinergic burden in schizophrenia and ability to benefit from psychosocial treatment programmes: a 3-year prospective cohort study,SPSS PROCESS macro model 4,"0 ## The study was a naturalistic observational cohort study, not a randomized controlled trial.","1 ## The study used mediation analysis to explore the causal pathway between anticholinergic burden, cognition, and psychosocial treatment outcomes.",0 ## The article does not explicitly mention examining the linearity of the mediator-outcome relationship.,0 ## There is no mention of testing for interaction between exposure and mediator in the mediation analysis.,"1 ## The study controlled for age, gender, baseline performance, psychiatric symptoms, and antipsychotic dose in the mediation analysis.","1 ## The analysis controlled for age, gender, baseline performance, psychiatric symptoms, and antipsychotic dose.","1 ## The study controlled for age, gender, baseline performance, psychiatric symptoms, and antipsychotic dose in the mediator-outcome model.",0 ## The study did not mention controlling for baseline mediator levels.,1 ## The study controlled for baseline performance on the DUNDRUM-3 Programme Completion Scale.,1 ## The study design implies that anticholinergic burden (exposure) was assessed before cognitive ability (mediator).,1 ## Cognitive ability (mediator) was assessed before the change in D-3 scores (outcome).,0 ## The article does not explicitly discuss the assumptions underlying the mediation analysis.,0 ## There is no mention of conducting sensitivity analysis to test the robustness of the mediation assumptions.,0 ## The study does not mention controlling for other post-exposure variables beyond those specified in the mediation model.
22998852,The relationship between happiness and intelligent quotient: the contribution of socio-economic and clinical factors,Baron & Kenny (1986),"0 ## The study used observational data from the 2007 Adult Psychiatric Morbidity Survey, not a randomized controlled trial.",1 ## The study aimed to explore whether the relationship between IQ and happiness was mediated by socio-economic and clinical factors.,0 ## The article does not explicitly mention examining the linearity between mediators and the outcome.,0 ## There is no mention of testing for interaction effects between IQ (exposure) and mediators.,0 ## The article does not specify covariates used in the exposure-mediator model.,"1 ## Age, gender, and ethnicity were considered as covariates in the exposure-outcome model.",1 ## The study adjusted for various socio-economic and clinical variables in the mediator-outcome model.,0 ## The study does not mention controlling for baseline levels of mediators.,0 ## There is no indication that baseline happiness was controlled for in the analysis.,0 ## The cross-sectional design does not allow for establishing temporal order between IQ and mediators.,0 ## The cross-sectional design does not establish temporal order between mediators and happiness.,0 ## The article does not discuss assumptions related to mediation analysis.,0 ## There is no mention of conducting sensitivity analysis to test assumptions.,0 ## The study does not mention controlling for other post-exposure variables.
26971049,Brain regions related to impulsivity mediate the effects of early adversity on antisocial behavior,PROCESS,0 ## The study did not use a randomized design; it examined naturally occurring early adversity.,1 ## The study aimed to establish a causal pathway from early adversity to antisocial behavior through brain regions related to impulsivity.,0 ## The article does not explicitly mention examining the linearity between the mediator and the outcome.,0 ## There is no mention of testing for interaction effects between exposure and mediator.,"1 ## Covariates such as age, sex, handedness, MRI site, puberty status, Verbal IQ, and Performance IQ were included in the analysis.",1 ## The same covariates were controlled for in the mediation analysis.,1 ## The analysis controlled for covariates when examining the relationship between brain volume and antisocial behavior.,"0 ## The study did not control for baseline levels of the mediator, as it was a cross-sectional study.","0 ## The study did not control for baseline levels of antisocial behavior, as it was a cross-sectional study.",1 ## The study assumes early adversity occurs before changes in brain structure.,1 ## The study assumes changes in brain structure occur before the development of antisocial behavior.,0 ## The article does not explicitly discuss assumptions related to the mediation analysis.,0 ## There is no mention of conducting sensitivity analyses to test the robustness of the mediation assumptions.,0 ## The study does not mention controlling for other post-exposure variables that might influence the outcome.
28288403,PTSD symptoms and suicide risk in veterans: Serial indirect effects via depression and anger,Serial mediation analysis,"0 ## The study used a cross-sectional design with self-reported data from veterans, not a randomized controlled trial.","0 ## The study used mediation analysis to explore associations, but the cross-sectional design precludes causal inference.","1 ## The study used Pearson's correlations and regression models, which assume linear relationships.",0 ## The study did not mention testing for interaction effects between PTSD symptoms and mediators.,0 ## The study did not specify including covariates in the exposure-mediator model.,"1 ## Covariates such as age, sex, ethnicity, branch of service, era of service, and VHA usage were included in the models.","1 ## The study included covariates in the mediation models, as indicated in the tables and text.","0 ## The study did not control for baseline levels of mediators, as it was cross-sectional.","0 ## The study did not control for baseline levels of the outcome, as it was cross-sectional.",0 ## The cross-sectional design does not allow for establishing temporal order between exposure and mediator.,0 ## The cross-sectional design does not allow for establishing temporal order between mediator and outcome.,0 ## The study did not explicitly discuss assumptions underlying the mediation analysis.,0 ## The study did not conduct sensitivity analyses to test the robustness of mediation assumptions.,0 ## The study did not mention controlling for other post-exposure variables.
27176661,Processes of Change in Preventing Alcohol Exposed Pregnancy: A Mediation Analysis,Path analysis,"1 ## The study used a randomized controlled trial (RCT) design, where participants were randomized into two groups: the CHOICES IPC intervention and the information-only control condition.","1 ## The study aimed to test whether the processes of change mediated the treatment effect on reducing risky drinking and increasing effective contraception, which implies a causal mediation analysis.",0 ## The article does not explicitly mention examining the linearity of the mediator-outcome relationship.,0 ## There is no mention of testing for interaction effects between exposure and mediator in the analysis.,0 ## The article does not specify covariates used in the exposure-mediator model.,1 ## The analysis controlled for baseline scores on the Alcohol Use Disorders Identification Test (AUDIT) and the number of male partners in the past 90 days.,0 ## The article does not specify covariates used in the mediator-outcome model.,0 ## The study does not mention controlling for baseline mediator values in the analysis.,0 ## The study does not mention controlling for baseline outcome values in the analysis.,1 ## The study design ensured that the treatment (exposure) occurred before the assessment of the mediators at 3 months.,"1 ## The mediators were assessed at 3 months, and the outcomes were assessed at 9 months, establishing temporal order.",0 ## The article does not explicitly discuss the assumptions underlying the mediation analysis.,0 ## There is no mention of conducting sensitivity analyses to test the robustness of the mediation assumptions.,0 ## The study does not mention controlling for other post-exposure variables in the analysis.
29442575,"The Gender-Equality Paradox in Science, Technology, Engineering, and Mathematics Education",Bootstrap method,"0 ## The study uses observational data from international databases, not a randomized controlled trial.","1 ## The study conducted a mediation analysis to explore the relationship between gender equality, life satisfaction, and STEM graduation rates.",0 ## The article does not explicitly mention examining the linearity between the mediator and the outcome.,0 ## There is no mention of testing for interaction effects between exposure and mediator in the mediation analysis.,0 ## The article does not specify any covariates used in the exposure-mediator model.,0 ## The article does not specify any covariates used in the exposure-outcome model.,0 ## The article does not specify any covariates used in the mediator-outcome model.,0 ## There is no mention of controlling for baseline mediator values.,0 ## There is no mention of controlling for baseline outcome values.,0 ## The study does not explicitly discuss the temporal ordering of exposure before the mediator.,0 ## The study does not explicitly discuss the temporal ordering of the mediator before the outcome.,1 ## The study acknowledges the assumptions of mediation analysis and discusses potential confounders.,1 ## A sensitivity analysis was conducted to assess the robustness of the mediation findings.,0 ## The study does not mention controlling for other post-exposure variables.
23002955,Potential Negative Effects of Perspective-Taking Efforts in the Context of Close Relationships: Increased Bias and Reduced Satisfaction,Bootstrapping procedures,"1 ## The study involved random assignment of participants to different perspective-taking conditions, such as imagine-other, imagine-self, and control.","1 ## The study used mediation analyses to explore the causal pathways between perspective-taking efforts and perceived transparency, focusing on self-focus as a mediator.",0 ## The article does not explicitly discuss the linearity of the mediator-outcome relationship.,0 ## There is no mention of testing for interaction effects between exposure and mediator in the mediation analysis.,0 ## The article does not specify the inclusion of covariates in the exposure-mediator model.,1 ## The analyses controlled for variables such as participants' sex and initial closeness in the exposure-outcome model.,1 ## The mediation analyses controlled for other predictors and covariates associated with significant or marginal effects.,0 ## The study does not mention controlling for baseline levels of the mediator.,0 ## There is no indication that baseline outcome measures were controlled for in the analyses.,1 ## The study design ensured that the perspective-taking manipulation (exposure) occurred before measuring the mediator (self-focus).,1 ## The mediator (self-focus) was assessed before the outcome (relationship satisfaction) in the study design.,0 ## The article does not explicitly discuss the assumptions underlying the mediation analysis.,0 ## There is no mention of conducting sensitivity analyses to test the robustness of the mediation assumptions.,0 ## The study does not mention controlling for other post-exposure variables that might influence the outcome.
29245091,Specificity in mediated pathways by anxiety symptoms linking adolescent stress profiles to depressive symptoms: Results of a moderated mediation approach,Moderated mediation,"0 ## The study used cross-sectional data from a survey of adolescents, not a randomized controlled trial.","0 ## The study acknowledges the limitation of using cross-sectional data, which does not allow for establishing causality.",0 ## The article does not explicitly discuss testing for linearity between the mediator and outcome.,"1 ## The study used moderated mediation analysis, which involves examining interactions between variables, including exposure and mediator.",1 ## The study controlled for age and sex in the mediation models.,"1 ## The study controlled for age and sex in the mediation models, which include the exposure-outcome relationship.","1 ## The study controlled for age and sex in the mediation models, which include the mediator-outcome relationship.","0 ## The study did not control for baseline levels of the mediator, as it used cross-sectional data.","0 ## The study did not control for baseline levels of the outcome, as it used cross-sectional data.",0 ## The cross-sectional design does not allow for establishing temporal order between exposure and mediator.,0 ## The cross-sectional design does not allow for establishing temporal order between mediator and outcome.,0 ## The article does not explicitly discuss the assumptions underlying the mediation analysis.,0 ## The article does not mention conducting a sensitivity analysis to test the robustness of the mediation assumptions.,0 ## The study does not mention controlling for other post-exposure variables beyond the specified covariates.
27458402,Holding Back the Tears: Individual Differences in Adult Crying Proneness Reflect Attachment Orientation and Attitudes to Crying,SPSS PROCESS,0 ## The study used cross-sectional data and did not involve any randomization of exposure.,"0 ## The study used cross-sectional data and statistical mediation analysis, which does not establish causality.",0 ## The article does not explicitly mention examining the linearity of the mediator-outcome relationship.,0 ## There is no mention of testing for interaction effects between exposure and mediator.,0 ## The article does not specify covariates used in the exposure-mediator model.,1 ## The study controlled for age and sex in the mediation analyses.,1 ## The study controlled for age and sex in the mediation analyses.,0 ## The study did not control for baseline mediator values as it was cross-sectional.,0 ## The study did not control for baseline outcome values as it was cross-sectional.,0 ## The cross-sectional design does not allow for establishing temporal order between exposure and mediator.,0 ## The cross-sectional design does not allow for establishing temporal order between mediator and outcome.,0 ## The article does not discuss assumptions specific to mediation analysis.,0 ## The article does not mention conducting sensitivity analyses related to mediation assumptions.,0 ## The study does not mention controlling for other post-exposure variables.
24433246,Sources of Individual Differences in Children's Understanding of Fractions,Mediation analysis following Baron and Kenny (1986) and using the Preacher and Hayes (2008) SPSS macro,0 ## The study is observational and does not mention any randomization of exposure.,0 ## The study uses mediation analysis but explicitly states that causation should not be inferred from the correlational analyses.,0 ## The article does not explicitly discuss examining the linearity of the mediator-outcome relationship.,0 ## There is no mention of testing for interaction effects between exposure and mediator.,1 ## The study controls for various first-grade competencies and demographic variables in the analysis.,1 ## The analysis includes controls for demographic characteristics and general academic abilities.,1 ## The study controls for first-grade competencies and demographic variables in the mediator-outcome model.,0 ## There is no mention of controlling for baseline mediator values.,0 ## The study does not control for baseline outcome values.,"1 ## The study measures first-grade competencies before second-grade mathematical skills, establishing temporal order.","1 ## Second-grade mathematical skills are measured before fourth-grade fraction concepts, establishing temporal order.",0 ## The article does not explicitly discuss assumptions related to the mediators.,0 ## There is no mention of conducting sensitivity analyses to test assumptions.,0 ## The study does not mention controlling for other post-exposure variables.
28113121,Irritability and internalizing symptoms: Modeling the mediating role of emotion regulation,Bootstrapping,0 ## The study used a cross-sectional design with no mention of randomization of exposure.,"1 ## The study aimed to establish a causal mediation relationship between irritability, emotion regulation, and internalizing symptoms.",0 ## There is no specific mention of examining the linearity between the mediator and the outcome.,0 ## The study does not discuss examining interactions between exposure and mediator.,0 ## The study does not mention including covariates in the exposure-mediator model.,0 ## There is no mention of covariates being included in the exposure-outcome model.,0 ## The study does not mention including covariates in the mediator-outcome model.,0 ## The study does not control for baseline levels of the mediator.,0 ## The study does not control for baseline levels of the outcome.,0 ## The cross-sectional design does not allow for establishing temporal order between exposure and mediator.,0 ## The cross-sectional design does not allow for establishing temporal order between mediator and outcome.,1 ## The study discusses the assumption that emotion dysregulation mediates the relationship between irritability and internalizing symptoms.,0 ## There is no mention of conducting a sensitivity analysis to test the assumptions.,0 ## The study does not mention controlling for other post-exposure variables.
27893238,Does Anger Regulation Mediate the Discrimination-Mental Health Link Among Mexican-Origin Adolescents? A Longitudinal Mediation Analysis Using Multilevel Modeling,Multilevel Modeling,0 ## The study did not use a randomized design; it was observational and longitudinal.,1 ## The study aimed to identify causal pathways by testing anger regulation as a mediator between discrimination and mental health outcomes.,0 ## The article does not explicitly mention examining the linearity of the mediator-outcome relationship.,0 ## There is no mention of testing for interaction effects between exposure and mediator in the analysis.,0 ## The study does not specify the inclusion of covariates in the exposure-mediator model.,0 ## The study does not specify the inclusion of covariates in the exposure-outcome model.,0 ## The study does not specify the inclusion of covariates in the mediator-outcome model.,0 ## The study does not mention controlling for baseline levels of the mediator.,0 ## The study does not mention controlling for baseline levels of the outcome.,1 ## The study's longitudinal design allows for the temporal ordering of discrimination (exposure) before anger regulation (mediator).,1 ## The longitudinal design also allows for the temporal ordering of anger regulation (mediator) before mental health outcomes.,0 ## The article does not explicitly discuss the assumptions underlying the mediation analysis.,0 ## There is no mention of conducting sensitivity analyses to test the robustness of the mediation assumptions.,0 ## The study does not mention controlling for other post-exposure variables.
