PMID,Title of the Study,Mediation Method Used,Randomized Exposure,Causal Mediation,Examined Mediator-Outcome Linearity,Examined Exposure-Mediator Interaction,Covariates in Exposure-Mediator Model,Covariates in Exposure-Outcome Model,Covariates in Mediator-Outcome Model,Control for Baseline Mediator,Control for Baseline Outcome,Temporal Ordering Exposure Before Mediator,Temporal Ordering Mediator Before Outcome,Discussed Mediator Assumptions,Sensitivity Analysis to Assumption,Control for Other Post-Exposure Variables
23477378,Toward a Culture-by-Context Perspective on Negotiation: Negotiating Teams in the United States and Taiwan,Moderated-mediation analysis,0,1,0,1,0,0,0,0,0,0,0,0,0,0
24183487,Attention-deficit hyperactivity disorder and suicidality in a treatment naïve sample of children and adolescents,Multiple mediation analysis,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26822489,Prefrontal White Matter Structure Mediates the Influence of GAD1 on Working Memory,Voxel-wise mediation analysis,0,1,0,0,1,1,1,0,0,0,0,0,0,0
23880495,Family Intervention for Adolescents With Suicidal Behavior: A Randomized Controlled Trial and Mediation Analysis,Baron and Kenny models of regression,1,1,0,0,0,0,0,0,0,1,1,0,0,0
24772098,"Predicting first-grade mathematics achievement: the contributions of domain-general cognitive abilities, nonverbal number sense, and early number competence",Structural Equation Modeling (SEM) and mediation analyses,0,1,0,0,1,1,1,0,0,1,1,0,0,0
26300795,Observing the restriction of another person: vicarious reactance and the role of self-construal and culture,"PROCESS (model 4, Hayes, 2013)",1,1,0,0,0,0,0,0,0,1,1,0,0,0
28287800,How Does Brief Motivational Intervention Change Heavy Drinking and Harm Among Underage Young Adult Drinkers?,Ordinary Least Squares (OLS) regression path models,1,1,1,0,0,1,1,1,1,1,1,0,0,0
27992853,CLOCK gene variants associated with the discrepancy between subjective and objective severity in bipolar depression,Bootstrapping procedures,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26001667,Role of depression severity and impulsivity in the relationship between hopelessness and suicidal ideation in patients with major depressive disorder,Regression analyses with bootstrapping methods,0,1,0,0,1,1,1,0,0,0,0,0,0,0
25566019,BDNF mediates improvements in executive function following a 1-year exercise intervention,PROCESS macro by Hayes,1,1,0,1,1,1,0,1,1,1,1,0,0,0
23527848,"Diversity Policy, Social Dominance, and Intergroup Relations: Predicting Prejudice in Changing Social and Political Contexts",Structural Equation Modeling (SEM),0,1,0,0,0,1,0,0,0,0,0,0,0,0
28880726,Parents' Spatial Language Mediates a Sex Difference in Preschoolers' Spatial Language Use,Linear regression mediation analysis,0,1,1,0,1,1,1,0,0,1,1,1,0,0
27337705,"Social relationships, loneliness, and mental health among older men and women in Ireland: A prospective community-based study",khb (Karlson Holm Breen) method,0,1,0,0,0,1,1,1,1,1,1,0,0,0
27994568,The Impact of Self-Narratives of Motherhood for Mothers of Children with Autism,Not mentioned,1,1,0,0,0,0,0,0,0,1,1,0,0,0
28410477,Anxiety among adults with a history of childhood adversity: Psychological resilience moderates the indirect effect of emotion dysregulation,Moderated mediation analysis,0,0,0,1,0,1,0,0,0,0,0,0,0,0
27743528,Mild traumatic brain injury and suicide risk among a clinical sample of deployed military personnel: Evidence for a serial mediation model of anger and depression,Bootstrapped serial mediation analysis,0,0,0,0,0,0,0,0,0,1,1,0,1,0
27252674,Goodbye or Identify: Detrimental Effects of Downsizing on Identification and Survivor Performance,PROCESS for SPSS,1,1,0,1,0,0,0,1,1,1,1,0,0,0
25998280,Brain Correlates of the Interaction Between 5-HTTLPR and Psychosocial Stress Mediating Attention Deficit Hyperactivity Disorder Severity,Whole-brain voxel-based morphometry mediation analysis,0,0,0,1,1,1,1,0,0,0,0,0,1,0
23565895,Does It Take Two to Tango? Longitudinal Effects of Unilateral and Bilateral Integrative Negotiation Training,Bootstrapping,1,1,0,0,0,0,0,0,0,1,1,0,0,0
28968562,Mind full of life: Does mindfulness confer resilience to suicide by increasing zest for life?,Moderated mediation analyses,0,1,0,0,0,0,0,0,1,1,1,0,0,0
27933019,Reduced Working Memory Mediates the Link between Early Institutional Rearing and Symptoms of ADHD at 12 Years,Bootstrapping procedure,1,1,0,0,0,1,1,0,0,1,1,0,0,0
25745834,Why are suicidal thoughts less prevalent in older age groups? Age differences in the correlates of suicidal thoughts in the English Adult Psychiatric Morbidity Survey 2007,'medeff' module in Stata,0,1,0,0,1,1,1,0,0,0,0,0,0,0
28261129,Beware of Selfies: The Impact of Photo Type on Impression Formation Based on Social Networking Profiles,INDIRECT macro for SPSS,1,1,0,0,0,0,0,0,0,1,1,0,0,0
23931831,Mechanisms of change underlying the efficacy of cognitive behaviour therapy for chronic fatigue syndrome in a specialist clinic: a mediation analysis,Path analysis,0,1,0,0,0,0,0,1,1,1,1,1,0,0
27522321,Effects of a brief anxiety sensitivity reduction intervention on obsessive compulsive spectrum symptoms in a young adult sample,PRODCLIN,1,1,0,0,0,1,1,1,1,1,1,0,0,0
27570514,Nicotine Dependence as a Mediator of Project EX's Effects to Reduce Tobacco Use in Scholars,PROCESS v2.12 macro for Windows,1,1,0,0,0,1,0,0,1,1,1,0,0,0
23276123,"Disclosure and Concealment of Sexual Orientation and the Mental Health of Non-Gay-Identified, Behaviorally Bisexual Men",Bootstrapping analyses,0,1,0,0,1,1,1,0,0,0,0,0,0,0
26779077,Collective Efficacy in Sports and Physical Activities: Perceived Emotional Synchrony and Shared Flow,Bootstrap procedure proposed by Preacher and Hayes,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28942202,The potential protective effect of friendship on the association between childhood adversity and psychological distress in adulthood: A retrospective preliminary three-wave population-based study,Path analysis (product-of-coefficients method),0,1,0,0,1,1,1,0,0,1,1,0,0,0
28824498,"Confounding and Statistical Significance of Indirect Effects: Childhood Adversity, Education, Smoking, and Anxious and Depressive Symptomatology",Difference-in-coefficients method,0,0,0,1,1,1,1,0,0,1,1,1,1,1
27344621,EEG beta and low gamma power correlates with inattention in patients with major depressive disorder,Hayes mediation model,0,1,0,0,0,1,0,0,0,0,0,0,0,0
27529648,Behavioral impulsivity mediates the relationship between decreased frontal gray matter volume and harmful alcohol drinking: A voxel-based morphometry study,Sobel test,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28292658,Non-violent and violent forms of childhood abuse in the prediction of suicide attempts: Direct or indirect effects through psychiatric disorders?,Bootstrapped mediation analyses,0,1,0,0,1,1,1,0,1,0,0,0,0,0
27065345,The Information-Anchoring Model of First Offers: When Moving First Helps Versus Hurts Negotiators,Moderated mediation analysis,1,1,0,1,0,0,0,0,0,1,1,1,0,0
28992527,Sex differences in the mediators of functional disability in Major Depressive Disorder,Process macro for SPSS,0,0,0,0,1,1,1,0,0,0,0,0,0,0
27458407,Effects of Internet-Based Self-Efficacy Intervention on Secondary Traumatic Stress and Secondary Posttraumatic Growth among Health and Human Services Professionals Exposed to Indirect Trauma,"PROCESS program, Model 4",1,1,0,0,1,1,1,1,1,1,1,0,0,0
24079297,Reading People's Minds From Emotion Expressions in Interdependent Decision Making,Multiple mediation analyses,1,1,0,0,0,0,0,0,0,1,1,1,0,0
28841489,"The illusion of handy wins: Problem gambling, chasing, and affective decision-making",SPSS macros for bootstrapping as provided by Preacher and Hayes (2004),0,1,0,0,0,1,0,0,0,0,0,0,0,0
28942201,Family environment and psychopathology in offspring of parents with bipolar disorder,Multi-level mediation analysis,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26680699,Family-centered prevention ameliorates the longitudinal association between risky family processes and epigenetic aging,Moderated-mediation analysis,1,1,0,1,0,1,1,0,0,1,1,0,0,1
24119920,The role of somatic health problems in the recognition of depressive and anxiety disorders by general practitioners,Preacher and Hayes (2008),0,1,0,0,0,1,0,0,0,1,1,0,0,0
28243217,"Self-control Predicts Exercise Behavior by Force of Habit, a Conceptual Replication of Adriaanse et al. (2014)",PROCESS macro,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29171662,"A Within-Family Examination of Interparental Conflict, Cognitive Appraisals, and Adolescent Mood and Well-Being",Multilevel mediation analyses,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25192244,A neurobehavioral account for individual differences in resilience to chronic military stress,INDIRECT procedure for SPSS,0,1,0,0,0,0,0,0,0,1,1,0,0,0
23025248,Reductions in Traumatic Stress Following a Coping Intervention Were Mediated by Decreases in Avoidant Coping for People Living With HIV/AIDS and Childhood Sexual Abuse,Latent Growth Curve Modeling,1,1,1,0,0,0,0,0,0,1,1,0,0,0
27898373,Thwarted Belongingness as an Explanatory Link between Insomnia Symptoms and Suicidal Ideation: Findings from Three Samples of Military Service Members and Veterans,Bias-corrected bootstrap mediation analyses,0,0,0,0,1,1,1,0,0,0,0,0,0,0
27566836,The role of early adversity and recent life stress in depression severity in an outpatient sample,Mediation analysis using the procedure by Hayes (2013),0,1,0,0,1,1,1,0,0,1,1,0,0,0
26381506,Conceptual Conditioning: Mechanisms Mediating Conditioning Effects on Pain,Multilevel mediation analysis,1,1,0,0,0,1,1,0,0,1,1,0,0,0
29274531,The association between pain and suicidal behavior in an English national sample: The role of psychopathology,Karlson Holm Breen (KHB) method,0,1,0,0,1,1,1,0,0,0,0,0,0,0
24575063,"Discrepancies between implicit and explicit self-concepts of intelligence: relations to modesty, narcissism, and achievement motivation",Moderated mediation analysis,0,1,0,1,0,0,0,0,0,0,0,0,0,0
26702520,More adaptive versus less maladaptive coping: What is more predictive ( ) cosstlate of symptom severity? Development of a new scale to investigate coping profiles across different psychopathological syndromes,Ordinary least squares path analysis,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24767017,Resilience buffers the impact of traumatic events on the development of PTSD symptoms in firefighters,Moderated mediation analysis,0,1,0,0,0,1,0,0,0,0,0,0,0,0
24815855,Not explicitly mentioned in the provided text.,Not mentioned,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26590510,Personality disorders and suicide attempts in unipolar and bipolar mood disorders,"Mediation analysis using ""mediation"" R-package",0,1,0,0,0,1,0,0,0,1,1,0,1,0
29510354,"Suicidality, Posttraumatic Stress, and Depressive Reactions after Earthquake and Maltreatment: A Cross-sectional Survey of a Random Sample of 6,132 Chinese Children and Adolescents",PROCESS macro,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25534593,"Prenatal marijuana exposure, age of marijuana initiation, and the development of psychotic symptoms in young adults",Structural Equation Modeling (SEM),0,1,0,1,1,1,1,0,0,1,1,0,0,1
28768312,Association of White Matter With Core Cognitive Deficits in Patients With Schizophrenia,Mediation analyses and structural equation modeling,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27917142,Perceived Interpersonal Burdensomeness as a Mediator between Nightmare Distress and Suicidal Ideation in Nightmare Sufferers,Multiple mediation regression,0,1,0,1,0,0,0,0,0,0,0,0,0,0
29052846,Improvements of adolescent psychopathology after insomnia treatment: results from a randomized controlled trial over 1 year,Multilevel regression analysis,1,1,0,0,0,0,0,0,1,1,1,0,0,0
25866294,Structural Hippocampal Damage Following Anti-N-Methyl-D-Aspartate Receptor Encephalitis,Bootstrapping method developed by Hagmann et al.,0,1,0,0,0,0,0,0,0,1,1,0,0,0
28872672,The Longitudinal Effects of Early Language Intervention on Children's Problem Behaviors,Structural Equation Modeling (SEM),1,1,0,0,1,1,1,1,1,1,1,0,0,0
26670947,Early life stress and the anxious brain: evidence for a neural mechanism linking childhood emotional maltreatment to anxiety in adulthood,Voxelwise mediation analysis,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29324368,"Childhood Disadvantage, Education, and Psychological distress in Adulthood: A Three-Wave Population-based Study",Difference-in-coefficients method,0,1,0,1,1,1,1,0,0,1,1,0,0,0
24485197,Quality of life in stable schizophrenia: The relative contributions of disorganization and cognitive dysfunction,Baron and Kenny method,0,1,0,0,0,1,0,0,0,0,0,0,0,0
26126419,"Is cognitive adaptation training (CAT) compensatory, restorative, or both?",Bootstrapping,1,1,0,0,0,0,0,0,1,1,1,0,0,0
28956520,A longitudinal mediation analysis of the effect of negative-self-schemas on positive symptoms via negative affect,Structural equation modeling,0,1,0,0,1,1,1,0,0,1,1,0,0,0
27554198,Cannabis and a lower BMI in psychosis: What is the role of AKT1?,Sobel test,0,0,1,0,1,1,1,0,0,0,0,0,0,0
24820537,Cannabinoid Type I Receptor Availability in the Amygdala Mediates Threat Processing in Trauma Survivors,Bootstrapped mediation analysis,0,1,0,0,0,0,0,0,0,0,1,0,0,0
28843437,Deficits in visual working-memory capacity and general cognition in African Americans with psychosis,Bayesian inference,0,1,0,1,0,0,1,0,0,0,0,0,0,0
25111250,The Contextualized Self: How Team-Member Exchange Leads to Coworker Identification and Helping OCB,Moderated mediation analysis,0,1,0,1,1,1,1,0,0,0,0,0,0,0
28758785,Why Do Early Mathematics Skills Predict Later Reading? The Role of Mathematical Language,Multilevel path analysis,0,0,0,0,1,1,1,0,1,1,1,0,0,0
27242616,Perceived Work Conditions and Turnover Intentions: The Mediating Role of Meaning of Work,Preacher and Hayes (2008),0,1,0,0,0,1,0,0,0,0,0,0,0,0
26606724,Direct and indirect effects of maltreatment typologies on suicidality in a representative Northern Irish sample: Psychopathology only partially mediates the relationship,Mediation analysis using Mplus,0,1,0,0,1,1,1,0,0,0,0,0,0,0
25640022,Impulsive choice predicts short-term relapse in substance-dependent individuals attending an in-patient detoxification programme,Hayes' PROCESS macro for SPSS,0,1,0,0,0,0,0,0,0,1,1,0,0,0
27775415,Education and Job-Based Interventions for Unmarried Couples Living With Low Incomes: Benefit or Burden?,Propensity score analysis,0,1,0,0,0,1,0,0,0,1,1,0,0,0
28961425,FKBP5 DNA methylation does not mediate the association between childhood maltreatment and depression symptom severity in the Detroit Neighborhood Health Study,Sequential linear regression,0,0,1,1,1,1,1,0,0,1,1,0,0,0
23453673,Depressive symptoms and interpersonal needs as mediators of forgiveness and suicidal behavior among rural primary care patients,Parallel and serial multivariable mediation analyses,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28477504,Adult attachment style and anxiety - The mediating role of emotion regulation,PROCESS macro for mediation,0,0,0,0,0,1,1,0,0,0,0,0,0,0
25888339,Negative future self as a mediator in the relationship between insight and depression in psychotic disorders,Preacher and Hayes' methods,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26395975,Identifying mechanisms that underlie links between COMT genotype and aggression in male adolescents with ADHD,"Mediation analysis according to the criteria proposed by MacKinnon, Lockwood, Hoffman, West, and Sheets (2002)",0,1,0,0,0,1,0,0,0,0,0,0,0,0
27774075,False-Belief Understanding and Language Ability Mediate the Relationship between Emotion Comprehension and Prosocial Orientation in Preschoolers,Mediation analysis,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27920734,"Role of Stressful Life Events, Avoidant Coping Styles, and Neuroticism in Online Game Addiction among College Students: A Moderated Mediation Model",Structural Equation Modeling (SEM),0,1,0,1,1,1,1,0,0,0,0,0,0,0
26869979,Am I Overweight? A Longitudinal Study on Parental and Peers Weight-Related Perceptions on Dietary Behaviors and Weight Status Among Adolescents,Multiple mediation analysis with sequential mediators,0,1,0,0,0,1,0,0,1,1,1,0,0,0
27252666,Drinking Motives As Mediators of the Associations between Reinforcement Sensitivity and Alcohol Misuse and Problems,Structural Equation Modeling (SEM),0,1,0,0,1,1,1,0,0,0,0,0,0,0
28193310,Depressive symptoms and inflammation are independent risk factors of fatigue in breast cancer survivors,PROCESS SPSS,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28647670,Temperament and Character Profile of College Students who have Suicidal Ideas or have Attempted Suicide,Mediation analysis,0,1,0,0,0,1,0,0,0,0,0,0,0,0
29172592,Non-Suicidal Self-Injury and Suicidal Thoughts and Behaviors: A Study of the Explanatory Roles of the Interpersonal Theory Variables Among Military Service Members and Veterans,Bootstrap moderated mediation analyses,0,1,0,1,1,1,1,0,0,0,0,0,0,0
24012069,War-related trauma exposure and multiple risk behaviors among school-going adolescents in Northern Uganda: The mediating role of depression symptoms,Baron and Kenny (1986),0,0,0,0,0,1,0,0,0,0,0,0,0,0
28778553,"Thought, Language, and Communication Deficits and Association with Everyday Functional Outcomes Among Community-Dwelling Middle-Aged and Older Adults with Schizophrenia",PROCESS macro for SPSS,0,1,0,0,1,1,1,0,0,0,0,0,0,0
27219531,Therapeutic alliance mediates the association between personality and treatment outcome in patients with major depressive disorder,PROCESS modeling approach,1,0,0,0,0,1,0,0,1,1,1,0,0,0
27884931,Mild Depressive Symptoms Mediate the Impact of Childhood Trauma on Long-Term Functional Outcome in Early Psychosis Patients,Path analysis models,0,0,0,0,0,0,0,0,0,1,1,0,0,0
29202885,The COMMAND trial of cognitive therapy to prevent harmful compliance with command hallucinations: predictors of outcome and mediators of change,Stata's paramed command,1,1,0,0,1,1,1,0,0,1,1,1,1,0
28871234,"Test Anxiety in Spanish Adolescents: Examining the Role of Emotional Attention, and Ruminative Self-focus and Regulation",Bootstrapping,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26192040,Developmental Trajectories of Children's Behavioral Engagement in Late Elementary School: Both Teachers and Peers Matter,Cross-lagged panel mediation analysis,0,1,0,1,0,1,0,0,1,1,1,0,0,0
28611704,"Passion, Trait Self-Control, and Wellbeing: Comparing Two Mediation Models Predicting Wellbeing",Partial Least Square Structural Equation Method (PLS-SEM),0,0,0,0,0,0,0,0,0,0,0,0,0,0
25039961,Treatment mechanism in the MRC preschool autism communication trial: implications for study design and parent-focussed therapy for children,Mediation analysis,1,1,0,1,1,0,1,1,0,1,1,1,1,0
27933010,"Differential Recall Bias, Intermediate Confounding, and Mediation Analysis in Life Course Epidemiology: An Analytic Framework with Empirical Example",Difference method,0,1,0,1,1,1,1,0,0,1,1,1,0,0
29331930,"Sleep quality, psychological symptoms, and psychotic-like experiences",PROCESS,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29294372,The mediating effects of depressive symptoms on the association of childhood maltreatment with non-medical use of prescription drugs,Structural Equation Modeling (SEM),0,0,0,1,0,1,0,0,0,0,0,0,0,0
